Air Force, AF
Akron, Akr
Alabama, Ala
Alabama A&M, A&M
Alabama State, ASt
Albany, Alb
Alcorn State, Alc
American University, Am
Appalachian State, ApS
Arizona, UA
Arizona State, ASU
Arkansas, Ark
Arkansas State, AkS
Arkansas-Little Rock, ALR
Arkansas-Pine Bluff, APB
Army, Arm
Auburn, Aub
Austin Peay, APe
Ball State, BaS
Baylor, Bay
Belmont, Bel
Bethune-Cookman, BCk
Binghamton, Bin
Boise State, BSt
Boston College, BC
Boston University, BU
Bowling Green, BG
Bradley, Bra
Brigham Young, BYU
Brown, Bwn
Bryant University, Bry
Bucknell, Buk
Buffalo, Buf
Butler, But
Cal Poly, CPy
Cal State Bakersfield, CSB
Cal State Fullerton, CSF
Cal State Northridge, CSN
California, Cal
Campbell, Cmb
Canisius, Can
Centenary, Cen
Central Arkansas, CAr
Central Connecticut State, CCS
Central Michigan, CMU
Charleston, Ctn
Charleston Southern, CSo
Charlotte, Cha
Chattanooga, Cht
Chicago State, ChS
Cincinnati, Cin
Citadel, Cit
Clemson, Clm
Cleveland State, ClS
Coastal Carolina, CCa
Colgate, Cgt
Colorado, Col
Colorado State, CoS
Columbia, Cmb
Connecticut, Con
Coppin State, Cpn
Cornell, Cor
Creighton, Cgh
Dartmouth, Drt
Davidson, Dav
Dayton, Day
Delaware, Del
Delaware State, DSt
Denver, Den
DePaul, DPl
Detroit, Det
Drake, Dra
Drexel, Drx
Duke, Duk
Duquesne, Duq
East Carolina, ECa
East Tennessee State, ETS
Eastern Illinois, EIl
Eastern Kentucky, EKy
Eastern Michigan, EMU
Eastern Washington, EWa
Elon, Eln
Evansville, Evn
Fairfield, Frf
Fairleigh Dickinson, FDk
Florida, Fla
Florida A&M, FAM
Florida Atlantic, FAt
Florida Gulf Coast, FGC
Florida International, FIn
Florida State, FSU
Fordham, Fdm
Fresno State, FSt
Furman, Fur
Gardner-Webb, G-W
George Mason, GM
George Washington, GWa
Georgetown, GT
Georgia, UG
Georgia Southern, GSo
Georgia State, GSt
Georgia Tech, GTc
Gonzaga, Gon
Grambling State, GrS
Green Bay, GBy
Hampton, Ham
Hartford, Hrt
Harvard, Hvd
Hawaii, Haw
High Point, HiP
Hofstra, Hof
Holy Cross, HCr
Houston, Hou
Houston Baptist, HBa
Howard, How
Idaho, Ida
Idaho State, ISt
Illinois, Il
Illinois State, IlS
Illinois-Chicago, IlC
Indiana, Ind
Indiana State, InS
Iona, Ina
Iowa, Iwa
Iowa State, ISt
IPFW, IPF
IUPUI, IUP
Jackson State, JSt
Jacksonville, Jck
Jacksonville State, JkS
James Madison, JmM
Kansas, Kan
Kansas State, KSU
Kennesaw State, KnS
Kent State, KSt
Kentucky, Ken
La Salle, LSa
Lafayette, Laf
Lamar, Lam
Lehigh, Leh
Liberty, Lib
Lipscomb, Lip
Long Beach State, LBS
Long Island, LI
Longwood, Lgw
Louisiana Tech, LaT
Louisiana-Lafayette, LaL
Louisiana-Monroe, LaM
Louisville, Lou
Loyola (IL), LIL
Loyola (MD), LMD
Loyola Marymount, Loy
LSU, LSU
Maine, Mne
Manhattan, Man
Marist, Mst
Marquette, Mar
Marshall, Msh
Maryland, Mry
Maryland-Eastern Shore, MES
Massachusetts, Mas
McNeese State, McN
Memphis, Mem
Mercer, Mer
Miami (FL), Mia
Miami (OH), MOH
Michigan, UM
Michigan State, MSU
Middle Tennessee State, MTS
Milwaukee, Mil
Minnesota, Min
Mississippi, Mis
Mississippi State, MiS
Mississippi Valley State, MVS
Missouri, Msr
Missouri State, MsS
Monmouth, Mnm
Montana, Mon
Montana State, MoS
Morehead State, MrS
Morgan State, MgS
Mount St. Mary's, MSM
Murray State, Mur
N.J.I.T., NJI
Navy, Nvy
Nebraska, Neb
Nevada, Nev
New Hampshire, NHa
New Mexico, NMx
New Mexico State, NMS
New Orleans, NOr
Niagara, Nia
Nicholls State, Nic
Norfolk State, Nfk
North Carolina, UNC
North Carolina A&T, NC&
North Carolina Central, NCC
North Carolina State, NCS
North Carolina-Asheville, NCA
North Carolina-Wilmington, NCW
North Dakota, NDk
North Dakota State, NDS
North Florida, NFl
North Texas, NTx
Northeastern, Nea
Northern Arizona, NAr
Northern Colorado, NCo
Northern Illinois, NIl
Northern Iowa, NIo
Northwestern, NW
Northwestern State, NWS
Notre Dame, ND
Oakland, Oak
Ohio, Ohi
Ohio State, OSU
Oklahoma, Okl
Oklahoma State, OkS
Old Dominion, OD
Oral Roberts, ORo
Oregon, Ore
Oregon State, OrS
Pacific, Pac
Penn State, PSU
Pennsylvania, Pen
Pepperdine, Pep
Pittsburgh, Pit
Portland, Por
Portland State, PSt
Prairie View A&M, PV&
Presbyterian, Pby
Princeton, Pri
Providence, Pro
Purdue, Pur
Quinnipiac, Qui
Radford, Rad
Rhode Island, RI
Rice, Ric
Richmond, Rch
Rider, Rid
Robert Morris, RbM
Rutgers, R
Sacramento State, SSt
Sacred Heart, ScH
Saint Joseph's, StJ
Saint Louis, StL
Saint Mary's, StM
Sam Houston State, SHS
Samford, Sam
San Diego, SD
San Diego State, SDS
San Francisco, SF
San Jose State, SJS
Santa Clara, StC
Savannah State, Sav
Seattle, Sea
Seton Hall, Stn
Siena, Sie
SIU Edwardsville, SIU
South Alabama, SAl
South Carolina, SCa
South Carolina State, SCS
South Dakota, SDk
South Dakota State, SDS
South Florida, SFl
Southeast Missouri State, SMS
Southeastern Louisiana, SeL
Southern Illinois, SIl
Southern Methodist, SMt
Southern Miss, SMs
Southern University, Sou
Southern Utah, SUt
St. Bonaventure, StB
St. Francis (NY), SFN
St. Francis (PA), SFP
St. John's, SJn
St. Peter's, StP
Stanford, Sta
Stephen F. Austin, SFA
Stetson, Sts
Stony Brook, StB
Syracuse, Syr
TCU, TCU
Temple, Tem
Tennessee, Ten
Tennessee State, TSt
Tennessee Tech, TTc
Tennessee-Martin, TnM
Texas, Tex
Texas A&M, A&M
Texas A&M-CC, TAC
Texas Southern, TxS
Texas State, TSt
Texas Tech, TTc
Texas-Arlington, TxA
Texas-Pan American, TPA
Texas-San Antonio, TSA
Toledo, Tol
Towson, Tow
Troy, Try
Tulane, Tln
Tulsa, Tul
UAB, UAB
UC Davis, UCD
UC Irvine, UCI
UC Riverside, UCR
UC Santa Barbara, SB
UCF, UCF
UCLA, ULA
UMBC, UBC
UMKC, UMK
UNC Greensboro, UNG
UNLV, ULV
USC, USC
USC Upstate, UsU
Utah, Uta
Utah State, USt
Utah Valley, UVa
UTEP, UTP
Valparaiso, Val
Vanderbilt, Van
Vermont, Ver
Villanova, Vil
Virginia, VA
Virginia Commonwealth, VAC
Virginia Military, VAM
Virginia Tech, VAT
Wagner, Wag
Wake Forest, WkF
Washington, Was
Washington State, WSt
Weber State, Web
West Virginia, WVa
Western Carolina, WCa
Western Illinois, WIl
Western Kentucky, WKy
Western Michigan, WMi
Wichita State, WiS
William & Mary, W&M
Winston-Salem, W-S
Winthrop, Win
Wisconsin, Wis
Wofford, Wof
Wright State, WrS
Wyoming, Wy
Xavier, Xav
Yale, Yal
Youngstown State, YSt
